tournament_id,tournament,class,round,round_label,m1_id,m1_player,m2_id,m2_player,wrong_match_id,wrong_player,current_result,proposed_result,proposed_margin_fix,category,confidence,evidence
1333,第50回全国競技かるた大分大会,D3,1,1回戦,763192,上野 楓,763207,上原 涼華,763207,上原 涼華,win,lose,,flip,high,t1333 ノックアウト。上原は1試合のみ(R1敗退)。上野はR2進出→上野R1勝
1369,第1回初段認定和歌山大会,対戦結果詳細,2,2回戦,773168,平野 愛依,773171,三木 蒼彩,773171,三木 蒼彩,win,lose,,flip,high,t1369 原本両者○(枚数3)。三木は勝数2/準優勝でR1勝・R3勝確定→R2は敗
1394,"第23回全国競技かるた愛知大会(D,E)",D4,1,1回戦,788405,熊谷 茉耶,788422,鹿末 実咲,788405,熊谷 茉耶,lose,win,,flip,high,t1394 ノックアウト。熊谷は3位(4試合R1-R3勝必須)。鹿末は1試合で敗退→熊谷R1勝
1439,第10回全国競技かるた兵庫大会,B123,1,1回戦,813361,西岡澪理,813433,半田恵実,813361,西岡澪理,lose,win,,flip,high,原本両者×誤記(枚数8)。西岡はR2で平田奈那に×→R1勝ち上がり=R1勝者。半田は1試合で敗退
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815913,小林  響,815983,正木 銀平,815913+815983,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815920,正野 聡美,815989,吉川 亜希,815920+815989,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815927,赤澤  和,815995,齋藤涼太朗,815927+815995,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815941,福井 貴斗,816007,上村 柚子,815941+816007,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815948,清水美綺乃,816013,張  葉月,815948+816013,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815955,出原 賢治,816019,片岡 美里,815955+816019,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815962,鈴木 晴子,816025,原　しほり,815962+816025,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815969,小山 結子,816031,集田 百香,815969+816031,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,3,3回戦,815976,清水 亜美,816037,山辺 葉子,815976+816037,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,4,4回戦,815914,小林  響,815949,清水美綺乃,815914+815949,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,4,4回戦,815921,正野 聡美,815956,出原 賢治,815921+815956,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,4,4回戦,815928,赤澤  和,815963,鈴木 晴子,815928+815963,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,4,4回戦,815935,田中 愛美,815970,小山 結子,815935+815970,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1441,第12回全国競技かるた兵庫大会,DDD,4,4回戦,815942,福井 貴斗,815977,清水 亜美,815942+815977,(both),win/win or lose/lose,(re-ingest),,structural,high,兵庫12回DDD:勝ち上がり表の可変列幅(R3+はマージセル空列)でパーサが相手名を+1round分ずれて連結→両者winの幻対戦。相手/round全体がR3以降破綻。原本(605_20150429hyougokekka.xlsx)は完全・可読→修正パーサで再取込推奨(②と同型)
1443,ミュンヘン競技かるた大会,結果 Result,4,4回戦,817916,デゥラン　ロゼン,817928,堤　ほの,817916+817928,(both),lose/lose,UNRESOLVED,,unresolved,-,ミュンヘン:原本(2019/1316_Munich_shosai.xlsx)自体が両者同mark(R4)。順位・勝ち上がり手掛かり無く真の勝者復元不能
1443,ミュンヘン競技かるた大会,結果 Result,4,4回戦,817947,アンゾルゲ　ソニア,817961,ルロ　イリス,817947+817961,(both),win/win,UNRESOLVED,,unresolved,-,ミュンヘン:原本(2019/1316_Munich_shosai.xlsx)自体が両者同mark(R4)。順位・勝ち上がり手掛かり無く真の勝者復元不能
1460,第24回埼玉県百人一首大会,C 級,1,1回戦,826334,明石　紗夜,826354,安田　仁稀,826354,安田 仁稀,win,lose,1,flip,high,PDF No.32安田2回戦「明石×1」/No.16明石「安田○1」。枚数も隣round値2誤→1
1460,第24回埼玉県百人一首大会,C 級,2,2回戦,826384,加藤　千尋,826406,岩井　美樹,826406,岩井 美樹,win,lose,10,flip,high,PDF No.13岩井3回戦「加藤×10」/No.5加藤「岩井○10」。枚数2誤→10
1460,第24回埼玉県百人一首大会,C 級,2,2回戦,826438,武田　葵,826475,小室　璃茉,826475,小室 璃茉,win,lose,14,flip,high,PDF No.9小室3回戦「武田×14」/No.1武田(1位)「小室○14」。枚数12誤→14
1460,第24回埼玉県百人一首大会,C 級,3,3回戦,826217,藤原　詩多,826230,富田　紗椰,826230,富田 紗椰,win,lose,4,flip,high,PDF No.8富田4回戦「藤原×4」/No.4藤原(3位)「富田○4」。枚数6誤→4
1461,第32回埼玉県百人一首大会,C 級,3,3回戦,826678,小田　幸奈,826693,松浦　由,826693,松浦 由,win,lose,4,flip,high,PDF No.7松浦4回戦「小田×4」/No.3小田(3位)「松浦○4」。枚数7誤→4
1461,第32回埼玉県百人一首大会,C 級,3,3回戦,826848,酒井　瑠美,826862,伊藤　あみ,826862,伊藤 あみ,win,lose,,flip,high,PDF No.8伊藤4回戦「酒井×8」/No.4酒井(3位)「伊藤○8」
1468,第5回白瀧杯女流かるた高校選手権大会,A級,3,3回戦,829691,矢野　杏奈,829701,西牧　真凜,829701,西牧 真凜,win,lose,,flip,high,PDF No.3西牧(3位)5戦目「矢野5×」/No.1矢野(優勝)「西牧5○」
1468,第5回白瀧杯女流かるた高校選手権大会,A級,4,4回戦,829692,矢野　杏奈,829697,宮田　想子,829697,宮田 想子,win,lose,,flip,high,PDF No.2宮田(準優)決勝「矢野12×」/No.1矢野(優勝)「宮田12○」
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829754,仲里 恒星,829786,上地 もなみ,829754+829786,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829758,宇根 柚羽,829810,宮城 莉子,829758+829810,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829762,島袋 智弘,829774,松村 有希子,829762+829774,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829766,仲間 稀史,829782,與儀 美咲,829766+829782,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829770,宮崎 百代,829829,木村 夏目,829770+829829,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829778,比嘉 真奈,829814,山中 杏,829778+829814,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829794,島袋 煌理,829841,宮城 佳乃子,829794+829841,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829798,嘉手納 杏合,829820,野口 莉珠,829798+829820,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829806,仲嶺 真依,829826,本部 木椛,829806+829826,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829817,伊集 彩夏,829856,崎原 野ノ葉,829817+829856,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829823,島袋 さゆり,829853,本部 美湖,829823+829853,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829835,喜納 丹心,829847,前上里 遥,829835+829847,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1495,第1回競技かるた初段認定沖縄大会,A級,2,2回戦,829838,比嘉 文香,829850,本部 蒼空,829838+829850,(both),win/win or lose/lose,(re-ingest),,structural,high,沖縄初段A級:PDF転記でR2のmark/枚数をR3の相手に連結→両者同markの幻対戦。真の対戦はPDF(new/3548.pdf・枚数符号で勝敗明快)で完全復元可→再取込推奨
1547,第3回全国競技かるた千葉大会(B),B級,2,2回戦,834737,渡邊 竜成,834895,小松 真喜,834895,小松 真喜,"lose vs 武藤 沙和(pid374933)","opponent→渡邊 竜成(pid374781); result=lose/枚数7 保持",,mirror-missing(item4),high,"原本16609.xlsx:渡邊(No.37)『小松真喜 7.0 ◯』・小松(No.101)『武藤沙和 7.0 ×』だが武藤(No.189)は鹿中戦のみ=小松と未対戦→小松の2回戦相手誤記(武藤→渡邊)。修正でミラー2件解消"
