series,year,edition,分類,原本パス,形式,備考,_csv_series,_status_raw,_hp_filetypes_raw,_report_reason_raw,_sample_raw
初段認定熊本大会,2021,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,初段認定熊本大会,NOT_IN_CORPUS,none/pdf/doc,PDF/Word(未パース),★第1回競技かるた初段認定熊本大会
初段認定福岡大会,2021,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,初段認定福岡大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第1回競技かるた初段認定福岡大会
初段認定秋田大会,2022,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定秋田大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第1回競技かるた初段認定秋田大会
初段認定茨城大会,2023,3,b,karuta_results/new/9894.pdf,pdf,"HP上の結果ファイルはPDFのみ(mdl_id=9894, status=OK)。series_coverage.csv は IN_CORPUS表示だが hp_filetypes=pdf(excelなし)であり、標準Excel/HTMLパーサでは対応不可。PDF専用処理(手動転記/OCR)が必要。IN_CORPUSフラグは日付一致フォールバックによる誤検出の可能性が高い。",初段認定茨城大会,IN_CORPUS,pdf,,第3回競技かるた初段認定茨城大会
初段認定鹿児島大会,2021,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,初段認定鹿児島大会,NOT_IN_CORPUS,none/pdf/doc,PDF/Word(未パース),★第1回競技かるた初段認定鹿児島大会
初段認定鹿児島大会,2022,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,初段認定鹿児島大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第2回競技かるた初段認定鹿児島大会
前橋大会,2012,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,前橋大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第1回前橋百人一首かるた大会
        
	【後援】"
前橋大会,2018,7,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,前橋大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第7回前橋百人一首かるた大会
        
	【後援】"
前橋大会,2019,8,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,前橋大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第8回前橋百人一首かるた大会
        
	【後援】"
北京大会,2011,4,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,北京大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第4回小倉百人一首かるた北京大会
北京大会,2012,5,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,北京大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第5回小倉百人一首かるた北京大会
北日本新人戦,2011,30,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,北日本新人戦,NOT_IN_CORPUS,none,HPに結果ファイル無,"第30回北日本かるた競技新人戦
        
	【後援】"
北日本新人戦,2016,38,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,北日本新人戦,NOT_IN_CORPUS,none,HPに結果ファイル無,"第38回北日本かるた競技新人戦
        
	【後援】"
北日本選手権,2020,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,北日本選手権大会及び第2回北日本小中学生選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第2回北日本競技かるた選手権大会及び第2回北日本競技かるた小中学生選手権大会
        
	【後援】"
北日本選手権,2025,6,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,北日本選手権大会,IN_CORPUS,none,,第6回北日本競技かるた選手権大会
千葉県大会,2012,2,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,千葉県大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第2回千葉県かるた大会
千葉県大会,2013,3,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,千葉県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第3回千葉県かるた大会
        
	【後援】"
千葉県大会,2014,4,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,千葉県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第4回千葉県かるた大会
        
	【後援】"
千葉県大会,2015,5,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,千葉県大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第5回千葉県かるた大会
多摩大会,2026,33,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,多摩大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第33回全国競技かるた多摩大会
多摩大会初心者の部,2011,19,b,karuta_results/2011/120_2011tama_beginner_detail.xls,excel(順位戦/N回戦ブロック),対戦データ実在(氏名/所属/相手/勝敗/枚数)。本セッションでxlrd実査。順位戦形式。,多摩大会初心者の部,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第19回多摩百人一首かるた大会 初心者の部（西東京市大会）
多摩大会初心者の部,2012,20,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,多摩大会初心者の部,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第20回多摩百人一首かるた大会 初心者の部（瑞穂町大会）
多摩大会初心者の部,2013,21,b,karuta_results/2013/352_tama_syosin_kekka_2013.xls,excel(順位戦/N回戦ブロック),対戦データ実在(氏名/所属/相手/勝敗/枚数)。本セッションでxlrd実査。順位戦形式。,多摩大会初心者の部,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第21回多摩百人一首かるた大会 初心者の部（稲城市大会）
多摩大会初心者の部,2015,23,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,多摩大会初心者の部,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第23回多摩百人一首かるた大会 初心者の部（武蔵村山市大会）
大分大会,2026,54,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,大分大会,NOT_IN_CORPUS,none,HPに結果ファイル無,一般社団法人全日本かるた協会 法人化30周年記念  第54回全国競技かるた大分大会
大学選手権,2012,19,b,karuta_results/2012/238_2012_university_individual_match_result.xls,excel(順位戦/N回戦ブロック、9シート),個人戦ファイルは別ファイル(238番、団体戦237番とは別)で対戦データ実在。本セッションでxlrd実査。順位戦形式(1年生の部/2年生の部A/B等シート分割)。,大学選手権大会,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第19回全日本大学かるた選手権大会（個人戦）
大学選手権,2013,20,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,大学選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第20回全日本大学かるた選手権大会（個人戦）
大学選手権,2014,21,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,大学選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第21回全日本大学かるた選手権大会（個人戦）
        
	【後援】"
大阪大会,2022,102,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,大阪大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第102回全国競技かるた大阪大会
女流選手権,2019,51,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,女流選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,★小倉百人一首競技かるた第51回全国女流選手権大会
宮崎大会,2026,42,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,宮崎大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第42回全国競技かるた宮崎大会
小・中学生選手権,2012,35,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小中学生選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第35回全国小・中学生かるた選手権大会
小中学生選手権福井,2010,33,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小中学生選手権福井大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第33回小・中学生かるた競技選手権福井大会
小中学生選手権福井,2013,36,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小中学生選手権福井大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第36回小・中学生かるた競技選手権福井大会
小中学生選手権福井,2014,37,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小中学生選手権福井大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第37回小・中学生かるた競技選手権福井大会
小中学生選手権福井,2022,44,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小中学生選手権福井大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第44回全国小・中学生競技かるた選手権福井大会(1日目)
小学生選手権,2022,35,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小学生選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,小倉百人一首競技かるた第35回全国小学生選手権大会
小山大会,2011,29,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,小山大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第29回小倉百人一首競技かるた小山大会
        
	【後援】"
小山大会,2012,30,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,小山大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第30回小倉百人一首競技かるた小山大会
小山大会,2013,31,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,小山大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第31回小倉百人一首競技かるた小山大会
山口大会,2022,10,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,山口大会,IN_CORPUS,none,,第10回全国競技かるた山口大会
岐阜県選手権,2019,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,岐阜県選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第1回岐阜県かるた選手権大会
        
	【後援】"
岐阜県選手権,2020,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,岐阜県選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第2回岐阜県かるた選手権大会
        
	【後援】"
岐阜県選手権,2021,3,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,岐阜県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第3回岐阜県かるた選手権大会
岡山大会,2012,3,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,岡山大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第3回全国かるた競技岡山大会
愛知大会,2026,26,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,愛知大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第26回全国競技かるた愛知大会
新人選手権,2014,23,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新人選手権大会および第6回グランドチャンピオン大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第23回全日本新人選手権かるた大会 および 第6回全日本グランドチャンピオン大会
        
	【後援】"
新田会大会,2011,14,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第14回新田かるた会百人一首大会
        
	【後援】"
